"Nr okręgu";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;;"Kamil Sebastian BARCZYK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"kierownik podmiotu leczniczego";"Zgorzelec";"022502";"m. Zgorzelec";"nie należy do partii politycznej";"";;;
1;;"Waldemar Włodzimierz WITKOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inż. elektromechanik";"Poznań";"306401";"m. Poznań";"członek partii politycznej: Unia Pracy";"";;;
1;;"Rafał Józef ŚLUSARZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"lekarz";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
2;;"Damian MISZTELA";"KOMITET WYBORCZY WYBORCÓW NASZA LEWICA";"Mężczyzna";"handlowiec";"Piechowice";"020603";"m. Piechowice";"nie należy do partii politycznej";"";;;
2;;"Krzysztof Stanisław MRÓZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
2;;"Marek Adam OBRĘBALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;
2;;"Robert Sebastian PAWELCZYK";"KOMITET WYBORCZY POLSKA 2050";"Mężczyzna";"kierownik działu logistyki";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";;;
2;;"Patryk Piotr STRAUS";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"politolog";"Pisarzowice";"020702";"gm. Kamienna Góra";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
2;;"Marcin Edward ZAWIŁA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"historyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Platforma Obywatelska RP";"";;;
3;;"Dorota CZUDOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"lekarz medycyny";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
3;;"Krzysztof Piotr JASIŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"ekonomista";"Glinica";"020306";"gm. Żukowice";"członek partii politycznej: Ruch Narodowy";"";;;
3;;"Tymoteusz Dominik MYRDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"radca prawny";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";;;
3;;"Małgorzata Helena SEKUŁA-SZMAJDZIŃSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawniczka";"Warszawa";"146516";"Wilanów";"członek partii politycznej: Nowa Lewica";"";;;
4;;"Agnieszka Maria KOŁACZ-LESZCZYŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"urzędnik samorządowy";"Wałbrzych";"026501";"m. Wałbrzych";"członek partii politycznej: Platforma Obywatelska RP";"";;;
4;;"Piotr LUDKOWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Tąpadła";"021905";"gm. Marcinowice";"członek partii politycznej: Ruch Narodowy";"";;;
4;;"Renata Teresa WIERZBICKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pracownik administracyjny";"Wałbrzych";"026501";"m. Wałbrzych";"nie należy do partii politycznej";"";;;
5;;"Andrzej DYSZEWSKI";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE OBYWATELSKIE";"Mężczyzna";"nauczyciel akademicki";"Bielawa";"020201";"m. Bielawa";"nie należy do partii politycznej";"";;;
5;;"Paweł Jarosław GANCARZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"wójt";"Stoszowice";"022404";"gm. Stoszowice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
5;;"Sebastian Mariusz GRZYB";"KOMITET WYBORCZY POLSKA 2050";"Mężczyzna";"ekonomista";"Wilkanów";"020806";"gm. Bystrzyca Kłodzka";"nie należy do partii politycznej";"";;;
5;;"Patryk Damian HAŁACZKIEWICZ";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"politolog";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;
5;;"Marzanna Irena LESZCZYŃSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"menedżer restauracji";"Ząbkowice Śląskie";"022405";"gm. Ząbkowice Śląskie";"nie należy do partii politycznej";"";;;
5;;"Jan Tadeusz POKRYWKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"lekarz";"Szalejów Górny";"020807";"gm. Kłodzko";"członek partii politycznej: Konfederacja Wolność i Niepodległość";"";;;
5;;"Aleksander Jakub SZWED";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Radków";"020812";"gm. Radków";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
6;;"Jarosław Wojciech OBREMSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"chemik";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;
6;;"Michał Marcin RADO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Bystrzyca";"021504";"gm. Oława";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";;;
6;;"Kazimierz Michał UJAZDOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel akademicki";"Izabelin";"143202";"gm. Izabelin";"członek partii politycznej: Centrum dla Polski";"";;;
7;;"Marcin Rafał KRZYŻANOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
7;;"Grzegorz Juliusz SCHETYNA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"parlamentarzysta";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;
7;;"Gaja Gabriela TYRALSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"muzykolog";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;
8;;"Małgorzata Maria CALIŃSKA-MAYER";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"zawodowy działacz organizacji związkowych";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
8;;"Jerzy Andrzej MICHALAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"adwokat";"Wrocław";"026401";"m. Wrocław";"nie należy do partii politycznej";"";;;
8;;"Barbara Grażyna ZDROJEWSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Kobieta";"kulturoznawca";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Platforma Obywatelska RP";"";;;
9;;"Krystyna Anna JAROCKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"inżynier elektronik";"Bydgoszcz";"046101";"m. Bydgoszcz";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
9;;"Radosław Grzegorz KEMPINSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"pracownik administracji rządowej";"Szczutki";"040307";"gm. Sicienko";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
9;;"Andrzej KOBIAK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"przedsiębiorca";"Tuchola";"041606";"gm. Tuchola";"członek partii politycznej: Platforma Obywatelska RP";"";;;
10;;"Mikołaj BOGDANOWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"pracownik administracji rządowej";"Bródzki";"040706";"gm. Kruszwica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
10;;"Ryszard Franciszek BREJZA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"pracownik samorządowy";"Inowrocław";"040701";"m. Inowrocław";"nie należy do partii politycznej";"";;;
10;;"Jarosław LATAWIEC";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"ekonomista";"Inowrocław";"040701";"m. Inowrocław";"nie należy do partii politycznej";"";;;
10;;"Sławomir Kazimierz SZELIGA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"lekarz";"Inowrocław";"040701";"m. Inowrocław";"nie należy do partii politycznej";"";;;
10;;"Łukasz Mikołaj WEGNER";"KOMITET WYBORCZY WYBORCÓW EUROPEJSKA LEWICA";"Mężczyzna";"ekonomista";"Inowrocław";"040701";"m. Inowrocław";"nie należy do partii politycznej";"";;;
11;;"Tomasz LENZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"poseł na Sejm RP";"Toruń";"046301";"m. Toruń";"członek partii politycznej: Platforma Obywatelska RP";"";;;
11;;"Maria MAZURKIEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pracownik administracji rządowej";"Toruń";"046301";"m. Toruń";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
12;;"Zbigniew ADAMCZYK";"KOMITET WYBORCZY ZWIĄZKU SŁOWIAŃSKIEGO";"Mężczyzna";"handlowiec";"Grudziądz";"046201";"m. Grudziądz";"nie należy do partii politycznej";"";;;
12;;"Ryszard Jakub BOBER";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"magister rolnictwa";"Jabłonowo-Zamek";"040207";"gm. Jabłonowo Pomorskie";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
12;;"Józef Jan RAMLAU";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"historyk";"Dobrzejewice";"041507";"gm. Obrowo";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
12;;"Adam Krzysztof RYBIŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"pedagog";"Grębocin";"041504";"gm. Lubicz";"członek partii politycznej: Konfederacja Korony Polskiej";"";;;
13;;"Krzysztof Aleksander KUKUCKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"politolog";"Włocławek";"046401";"m. Włocławek";"członek partii politycznej: Nowa Lewica";"";;;
13;;"Jakub Andrzej LISIECKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Włocławek";"046401";"m. Włocławek";"członek partii politycznej: Konfederacja Nowa Nadzieja";"";;;
13;;"Sławomir Andrzej SKRODZKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"przedsiębiorca";"Ciechocinek";"040102";"m. Ciechocinek";"nie należy do partii politycznej";"";;;
13;;"Józef Mikołaj ŁYCZAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Wołuszewo";"040104";"gm. Aleksandrów Kujawski";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
14;;"Stanisław GOGACZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Lublin";"066301";"m. Lublin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
14;;"Artur Adam PIETRAS";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"mistrz produkcji w przemyśle chemicznym";"Puławy";"061401";"m. Puławy";"członek partii politycznej: Ruch Narodowy";"";;;
14;;"Jan Bogdan RAJCHEL";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"nauczyciel akademicki nauki humanistyczne";"Krupia Wólka";"141805";"gm. Prażmów";"nie należy do partii politycznej";"";;;
15;;"Grzegorz CZELEJ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Lublin";"066301";"m. Lublin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
15;;"Stanisław Jan MAZUR";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"przedsiębiorca";"Janów Lubelski";"060505";"gm. Janów Lubelski";"członek partii politycznej: Nowa Lewica";"";;;
15;;"Michał WYPYCH";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"politolog";"Świdnik";"061701";"m. Świdnik";"członek partii politycznej: Konfederacja Nowa Nadzieja";"";;;
16;;"Mieczysław Antoni KONARSKI";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"Mężczyzna";"tech. mechanik";"Lublin";"066301";"m. Lublin";"nie należy do partii politycznej";"";;;
16;;"Marcin Andrzej NOWAK";"KOMITET WYBORCZY WYBORCÓW MARCINA NOWAKA";"Mężczyzna";"pracownik naukowy";"Lublin";"066301";"m. Lublin";"członek partii politycznej: Nowa Demokracja-Tak";"";;;
16;;"Mirosław Mariusz PIOTROWSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"nauczyciel akademcki";"Lublin";"066301";"m. Lublin";"członek partii politycznej: Ruch Prawdziwa Europa - Europa Christi";"";;;
16;;"Lech Stanisław SPRAWKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"pracownik administracji rządowej";"Uniszowice";"060908";"gm. Konopnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
16;;"Jacek Szczęsny TRELA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"adwokat";"Warszawa";"146510";"Śródmieście";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";;;
17;;"Grzegorz Michał BIERECKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";;;
17;;"Marek Artur SULIMA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"rolnik";"Zasiadki";"060110";"gm. Międzyrzec Podlaski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
18;;"Jolanta DUDA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"ekonomista";"Chełm";"066201";"m. Chełm";"nie należy do partii politycznej";"";;;
18;;"Kamila GRZYWACZEWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"specjalista ochrony środowiska";"Przymiarki";"061905";"gm. Urszulin";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
18;;"Józef ZAJĄC";"KOMITET WYBORCZY WYBORCÓW JÓZEFA ZAJĄCA";"Mężczyzna";"nauczyciel akademicki";"Stany Nowe";"060507";"gm. Potok Wielki";"członek partii politycznej: Porozumienie";"";;;
19;;"Arkadiusz Tomasz BRATKOWSKI";"KOMITET WYBORCZY WYBORCÓW ZAMOJSZCZYZNY";"Mężczyzna";"pracownik biurowy";"Miączyn Stacja";"062006";"gm. Miączyn";"członek partii politycznej: PSL";"";;;
19;;"Jerzy Mieczysław CHRÓŚCIKOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Białowola";"062014";"gm. Zamość";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
19;;"Rafał KOWALIK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"pedagog";"Szczebrzeszyn";"062013";"gm. Szczebrzeszyn";"nie należy do partii politycznej";"";;;
19;;"Marek LIPIEC";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"lekarz medycyny";"Mokre";"062014";"gm. Zamość";"członek partii politycznej: Platforma Obywatelska RP";"";;;
19;;"Marek POZNAŃSKI";"KOMITET WYBORCZY NOWA DEMOKRACJA - TAK";"Mężczyzna";"archeolog";"Hrubieszów";"060401";"m. Hrubieszów";"nie należy do partii politycznej";"";;;
19;;"Dariusz Zbigniew ZAGDAŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"socjolog";"Zamość";"066401";"m. Zamość";"nie należy do partii politycznej";"";;;
20;;"Rafał Zdzisław ADAMCZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"ekonomista";"Wilkanowo";"080907";"gm. Świdnica";"nie należy do partii politycznej";"";;;
20;;"Grzegorz Przemysław MAĆKOWIAK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel";"Zielona Góra";"086201";"m. Zielona Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
20;;"Mirosław RÓŻAŃSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"żołnierz zawodowy - emerytowany";"Kęszyca Kolonia";"080302";"gm. Międzyrzecz";"nie należy do partii politycznej";"popierany przez partię polityczną: Polska 2050 Szymona Hołowni";;;
21;;"Tomasz JASKUŁA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"informatyk";"Lubniewice";"080702";"gm. Lubniewice";"nie należy do partii politycznej";"";;;
21;;"Władysław KOMARNICKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"menadżer";"Gorzów Wielkopolski";"086101";"m. Gorzów Wielkopolski";"członek partii politycznej: Platforma Obywatelska RP";"";;;
22;;"Tomasz Jacek KŁOSOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"prawnik";"Wschowa";"081203";"gm. Wschowa";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
22;;"Wadim TYSZKIEWICZ";"KOMITET WYBORCZY WYBORCÓW WADIM TYSZKIEWICZ - PAKT SENACKI";"Mężczyzna";"inżynier mechanik";"Nowa Sól";"080401";"m. Nowa Sól";"nie należy do partii politycznej";"";;;
23;;"Artur Jerzy DUNIN";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"Mężczyzna";"inżynier geodeta";"Łódź";"106101";"m. Łódź";"członek partii politycznej: Platforma Obywatelska RP";"";;;
23;;"Jan TOMASZEWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"komentator sportowy";"Łódź";"106101";"m. Łódź";"nie należy do partii politycznej";"";;;
24;;"Piotr ADAMCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"samorządowiec";"Łódź";"106101";"m. Łódź";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
24;;"Bogusław Piotr CIUPKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"logistyk";"Łódź";"106101";"m. Łódź";"członek partii politycznej: Ruch Narodowy";"";;;
24;;"Krzysztof KWIATKOWSKI";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOF KWIATKOWSKI - PAKT SENACKI";"Mężczyzna";"prawnik";"Łódź";"106101";"m. Łódź";"nie należy do partii politycznej";"";;;
25;;"Przemysław Jacek BŁASZCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"zootechnik";"Witaszewice";"100403";"gm. Góra Świętej Małgorzaty";"członek partii politycznej: Prawo i Sprawiedliwość";"";;;
25;;"Radosław Władysław GAJDA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel języka obcego";"Zgierz";"102003";"m. Zgierz";"nie należy do partii politycznej";"";;;
25;;"Tadeusz Stanisław GAJDA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedsiębiorca";"Skaratki";"100504";"gm. Domaniewice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";;;
25;;"Dariusz Andrzej PIGŁOWSKI";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"Mężczyzna";"inżynier konstruktor";"Poddębice";"101103";"gm. Poddębice";"nie należy do partii politycznej";"";;;
